CodProfesionUOficio,Descripción,"Estado (1-Inactivo, 2- Activo)"
366,Bacteriólogo,2
367,Biólogo,2
368,Biólogo marino,2
369,Biólogo molecular,2
370,Botánico,2
371,Citólogo,2
372,Citólogo de botánica,2
373,Citólogo de zoología,2
374,Embriólogo,2
375,Entomólogo,2
376,Genetista,2
377,Hidrobiólogo,2
378,Histólogo,2
379,Histólogo de animales,2
380,Histólogo de plantas,2
381,Ictiólogo,2
382,Ingeniero de genética,2
383,Micólogo,2
384,Microbiólogo,2
385,Microbiólogo de laboratorio forense,2
386,Ornitólogo,2
387,Parasitólogo,2
388,Taxonomista,2
389,Taxonomista de animales,2
390,Taxonomista de plantas,2
391,Zoólogo,2
392,Farmacólogo,2
393,Fisiólogo,2
394,Bioquímico,2
395,Toxicólogo,2
396,Agrólogo,2
397,Agrónomo,2
398,Agrónomo de silvicultura,2
399,Agrónomo ecólogo,2
400,Agrónomo floricultor,2
401,Edafólogo,2
402,Especialista de divulgación agropecuaria,2
403,Fitopatólogo,2
404,Ingeniero agrícola,2
405,Ingeniero agrónomo,2
406,Ingeniero de fitopatólogo,2
407,Ingeniero en maderas,2
408,Ingeniero forestal,2
409,Zootécnico,2
410,Consejero agrícola,2
411,Consejero forestal,2
412,Consejero pecuario,2
413,Consejero agropecuario,2
414,Zootecnista,2
415,Ecologista,2
416,Ecologista de botánica,2
417,Ecologista de zoología,2
418,Especialista de conservación de recursos naturales,2
419,Analista de calidad del agua,2
420,Especialista de medio ambiente,2
421,Científico de conservación,2
422,Científico ambiental,2
423,Investigador en medio ambiente,2
424,Especialista de desarrollo industrial,2
425,Ingeniero de producción industrial,2
426,Ingeniero industrial,2
427,Ingeniero de producción,2
428,Ingeniero civil,2
429,Ingeniero de canales y puertos,2
430,Ingeniero de dragado,2
431,Ingeniero de hidrología,2
432,Ingeniero de irrigación,2
433,Ingeniero de sanidad,2
434,Tecnólogo de ingeniería civil,2
435,Tecnólogo de ingeniería rural,2
436,Tecnólogo de materiales de construcción,2
437,Ingeniero de construcción,2
438,Ingeniero ambiental,2
439,Ingeniero medioambiental,2
440,Diseñador de aeronáutica,2
441,Diseñador de automóviles,2
442,Ingeniero de climatización,2
443,Ingeniero de construcción aeronáutica,2
444,Ingeniero de construcción de automóviles,2
445,Ingeniero de construcción naval,2
446,Ingeniero de mantenimiento industrial,2
447,Ingeniero de maquinaria y herramientas industriales,2
448,Ingeniero de motores de combustión interna,2
449,Ingeniero de motores de locomotoras,2
450,Ingeniero de motores diesel,2
451,Ingeniero mecánico,2
452,Ingeniero mecánico de aeronáutica,2
453,Ingeniero mecánico de maquinaria y herramientas industriales,2
454,Ingeniero mecánico de mecánica de precisión,2
455,Ingeniero mecánico de motores a reacción,2
456,Ingeniero mecánico de motores diesel,2
457,Ingeniero mecánico de motores y equipo para barcos,2
458,Ingeniero mecánico de refrigeración,2
459,Ingeniero mecánico de turbinas de gas,2
460,Ingeniero naval,2
461,Mecánico de construcciones navales,2
462,Tecnólogo de mecánica,2
463,Ingeniero aeronáutico,2
464,Ingeniero químico,2
465,Ingeniero químico de alimentos y bebidas,2
466,Ingeniero químico de carburantes,2
467,Ingeniero químico de caucho,2
468,Ingeniero químico de colores y pinturas,2
469,Ingeniero químico de material plástico,2
470,Ingeniero químico de nutrición animal,2
471,Ingeniero químico de papel,2
472,Ingeniero químico de petróleo y gas natural,2
473,Tecnólogo de alimentos y bebidas,2
474,Tecnólogo de carburantes,2
475,Tecnólogo de caucho,2
476,Tecnólogo de cervecerías,2
477,Tecnólogo de fabricación de neumáticos,2
478,Tecnólogo de fibras artificiales y sintéticas,2
479,Tecnólogo de materias plásticas,2
480,Tecnólogo de papel,2
481,Tecnólogo de pinturas,2
482,Ingeniero de fundición,2
483,Ingeniero de minas,2
484,Ingeniero de siderurgia,2
485,Ingeniero metalúrgico,2
486,Tecnólogo de metalurgia ,2
487,Ingeniero en petróleo y gas natural,2
488,Ingeniero de robótica,2
489,Ingeniero biomédico ,2
490,Ingeniero óptico ,2
491,Ingeniero en seguridad ,2
492,Ingeniero de energía nuclear,2
493,Ingeniero en explosivos,2
494,Ingeniero electricista,2
495,Ingeniero electricista de equipo electromecánico,2
496,Ingeniero electricista de iluminación,2
497,Ingeniero electricista de líneas eléctricas,2
498,Ingeniero electricista de producción de energía eléctrica,2
499,Ingeniero electricista de transporte de corriente eléctrica,2
500,Tecnólogo de electricidad,2
501,Ingeniero electricista en  tracción eléctrica,2
502,Ingeniero eléctrico,2
503,Ingeniero en electricidad,2
504,Ingeniero electromecánico,2
505,Ingeniero electrónico,2
506,Ingeniero electrónico de construcción de computadoras,2
507,Ingeniero electrónico de instrumentos científicos,2
508,Ingeniero electrónico de semiconductores,2
509,Ingeniero  electronicista,2
510,Tecnólogo de electrónica,2
511,Ingeniero en electrónica,2
512,Ingeniero en hardware de computadoras,2
513,Ingeniero en telecomunicaciones,2
514,Tecnólogo de telecomunicaciones,2
515,Ingeniero en radares,2
516,Ingeniero en radio,2
517,Ingeniero en sistema de señales,2
518,Ingeniero en teléfonos,2
519,Ingeniero en televisión,2
520,Ingeniero en radiodifusión,2
521,Arquitecto,2
522,Especialista de restauración / inmuebles,2
523,Arquitecto paisajista,2
524,Diseñador de moda,2
525,Diseñador de prendas de vestir,2
526,Diseñador de productos comerciales,2
527,Diseñador de productos industriales,2
528,Diseñador de telas y tejidos,2
529,Diseñador de  joyas,2
530,Diseñador de orfebrería,2
531,Diseñador de alfombras,2
532,Diseñador de envases,2
533,Diseñador de muebles,2
534,Diseñador de piezas de cerámica,2
535,Diseñador industrial,2
536,Urbanista,2
537,Ingeniero de tránsito,2
538,Planificador de tránsito,2
539,Planificador urbano,2
540,Topógrafo de suelos,2
541,Topógrafo de fotogeometría,2
542,Topógrafo  hidrográfico,2
543,Topógrafo catastral,2
544,Ingeniero topógrafo,2
545,Ingeniero de geodesia,2
546,Topógrafo,2
547,Diseñador gráfico,2
548,Diseñador multimedia ,2
549,Diseñador Web,2
550,Diseñador de ilustraciones,2
551,Diagramador de artes gráficas,2
552,Diseñador de artes gráficas,2
553,Diseñador digital,2
554,Diseñador de publicaciones,2
555,Médico,2
556,Médico consejero de seguridad social,2
557,Médico consejero de seguros médicos,2
558,Médico de empresa,2
559,Médico de medicina general,2
560,Médico general,2
561,Médico residente,2
562,Cardiólogo,2
563,Cirujano,2
564,Cirujano de cardiología,2
565,Cirujano de cirugía general,2
566,Cirujano de cirugía plástica,2
567,Cirujano de neurocirugía,2
568,Cirujano de ortopedia,2
569,Cirujano de tórax,2
570,Cirujano osteópata,2
571,Dermatólogo,2
572,Ginecólogo,2
573,Médico alópata,2
574,Médico anestesista,2
575,Médico cirujano,2
576,Médico especialista,2
577,Médico forense,2
578,Médico gastroenterólogo,2
579,Médico neumólogo,2
580,Neurocirujano,2
581,Neurólogo,2
582,Oftalmólogo,2
583,Ortofonía especialista,2
584,Ortoptia especialista,2
585,Otorrinolaringólogo,2
586,Pediatra,2
587,Psiquiatra,2
588,Radiólogo,2
589,Urólogo,2
590,Venereólogo,2
591,Anestesista,2
592,Gastroenterólogo,2
593,Endocrinólogo,2
594,Ortopedista,2
595,Ósteopata,2
596,Oncólogo ,2
597,Podólogo,2
598,Enfermero de nivel superior,2
599,Enfermero profesional,2
600,Partera,2
601,Enfermero,2
602,Enfermera,2
603,Obstetra,2
604,Enfermero obstetra,2
605,Enfermera obstetra,2
606,Acupunturista,2
607,Homeópata ,2
608,Naturópata,2
609,Paramédico profesional,2
610,Paramédico de atención avanzada,2
611,Médico paramédico,2
612,Veterinario,2
613,Veterinario de salud pública,2
614,Patólogo de animales,2
615,Patólogo de  medicina veterinaria,2
616,Veterinario cirujano,2
617,Epidemiólogo veterinario,2
618,Cirujano  bucodental,2
619,Cirujano  dental,2
620,Dentista,2
621,Dentista de  ortodoncia,2
622,Dentista  de pedodoncia,2
623,Dentista  de  periodoncia,2
624,Dentista de prótesis dentales,2
625,Médico  odontólogo,2
626,Odontólogo,2
627,Médico de estomatología,2
628,Cirujano  maxilofacial,2
629,Ortodoncista,2
630,Cirujano  oral ,2
631,Estomatólogo,2
632,Boticario,2
633,Farmacéutico,2
634,Farmacéutico de comercio,2
635,Farmacéutico  de hospital,2
636,Regente de farmacia,2
637,Farmacéutico industrial,2
638,Higienista,2
639,Higienista ocupacional ,2
640,Consejero en seguridad ocupacional ,2
641,Higienista de  saneamiento ambiental ,2
642,Oficial de salud ambiental / empresa,2
643,Profesional en salud ocupacional,2
