codSubclase,Descripción,"Estado (1-Inactivo, 2-Activo)"
101009004,"Producción de otros productos cárnicos de otro tipo de animales diferentes al ganado vacuno, porcino, aves o peces",2
101009005,Producción de lana en mataderos,2
101009090,"Elaboración y conservación de otro tipo de carnes diferentes al ganado vacuno, porcino, aves o peces no contemplado en otra actividad asociada",2
101088000,Elaboración y conservación de carne y embutidos de ganado vacuno y porcino y de otro tipo de carnes,2
101099000,Elaboración y conservación de carne,2
102000001,"Preparación y conservación de pescado, crustáceos y moluscos: congelado, seco, ahumado, salado, sumergido en salmuera y enlatado, etc.",2
102000002,"Producción de productos de pescado, crustáceos y moluscos: pescado cocinado, filetes de pescado, huevos de pescado, caviar y sustitutos del caviar, etc.",2
102000003,Producción de harina y otras sustancias solubles de pescado y otros animales acuáticos no aptos para el consumo humano,2
102000004,Embarcaciones que se dedican a la pesca y la elaboración y conservación de pescado,2
102000005,Procesamiento de algas,2
102099000,"Elaboración y conservación de pescados, crustáceos y moluscos",2
103000001,"Fabricación de alimentos compuestos principalmente de frutas, legumbres u hortalizas, excepto platos congelados o enlatados listos para consumir",2
103000002,"Conservación de frutas, nueces, legumbres y hortalizas: congelación, desecación, inmersión en aceite o en vinagre, enlatado, etc.",2
103000003,"Fabricación de productos alimenticios a partir de frutas, legumbres u hortalizas",2
103000004,Fabricación de jugos de frutas u hortalizas,2
103000005,Fabricación de mermeladas y jalea (no en azúcar),2
103000006,"Elaboración y conservación de papas: fabricación de papas congeladas preparadas, puré de papa deshidratada, aperitivos a base de papas, papas fritas, harina y sémola",2
103000007,Tostado y fabricación de pastas de nueces,2
103000008,Pelado industrial de papas,2
103000009,Producción de concentrados a partir de frutas y hortalizas frescas,2
103000010,"Elaboración de productos perecederos de frutas, legumbres y hortalizas, como: ensaladas, hortalizas peladas o cortadas, tofu (cuajada de soya)",2
103099000,"Elaboración y conservación de frutas, legumbres y hortalizas (vegetales)",2
